id,seeker_post,response_post
1,Sure.,-and you usually have three to four drinks when you do drink.
2,Mm-hmm.,Okay. That's at least 12 drinks a week.
3,Usually three drinks and glasses of wine.,"Okay. Just so you know, my role, um, when we talk about alcohol use, is just to share information about risk and to help patients who want help. This is different than telling them what I think they should do. I don't do that."
4,Something like that.,"Uh, what else can you tell me about your drinking."
5,Okay.,"Okay. So, can I share with you some information on alcohol use?"
6,"Well, I usually drink when I'm at home trying to unwind and I drink while I'm watching a movie. And sometimes, um, I take a bath but I also drink when I take a bath sometimes.","Okay. So, there has been a lot of research on alcohol use and the guidelines we use in this country says that having seven or more drinks per week can raise the risk of health problems for women."
7,Okay.,Seven.
8,Hmm. Seven?,"Yeah, you're surprised to hear that?"
9,Wow. I knew my doctor didn't like me drinking the amount that I did but I didn't know that seven was the limit.,"Well things like heart disease, cancer, liver problems, uh, stomach pains, insomnia. Unfortunately, uh, people who drink at a risky level are more likely to be diagnosed with depression and alcohol can make depression worse or harder to treat."
10,Yes. What-what kind of health problems?,"Well, how do you think your drinking relates to the depression you've experienced?"
11,"Hmm. Well, that's not good news.",Okay. And how do you feel after you drink?
12,"Well, to be honest, I drink sometimes when I'm feeling down and I find it more interesting and not so blur.","So, there are some answers on this form here. Uh, less than monthly you drank more than you intended to."
13,"Well, then I feel blur again.",And sometimes you feel guilty after you drink.
14,Yes on occasion.,So you're not proud of finishing a bottle?
15,Sometimes I just don't like how much I drink. I sometimes finish a bottle in one night.,"Right. By the way, binge drinking is defined for women as having more than, uh, three drinks and there are about five drinks in a bottle. So, you enjoy drinking wine because it helps make things, uh, a little bit more interesting when you're feeling down but at the same time you don't like drinking when you have more than you want it to and then the depression returns after you drink."
16,"No, it's not like I get crazy or anything but I just don't like the amount that I'm drinking.",Where do you wanna go from here? What do you wanna change about your drinking habits?
17,"Mm-hmm. Yes, sometimes I feel worse after drinking.","If I gave you a scale from 0 to 10, 0 being not ready at all to cut back on drinking and 10 being very ready, what number would you be at?"
18,"Well, I don't think that I'm ready to cut down to seven drinks a week. That seems like a lot but I would consider cutting back to two drinks a night. I think that would be my goal.",Okay. Why do you think it's not something less like a six?
19,I'd say an eight.,What would help you cut back to two drinks?
20,"Well, I'm more ready than a six because I'm ready to cut back on my drinking and I don't wanna make my depression any worse.",Having less wine in the house will help?
21,Maybe having less wine in the house.,What else besides drinking helps you relax and unwind in the evenings?
22,Yes.,"So, it's not just wine that helps you relax. Um, there's reading a book, watching a movie, and taking a hot bath too."
23,"Well, I like to watch movies, read a book, and take a bath but sometimes I drink when I take a bath.","Okay. So, it sounds like you have some reasons to cut back on drinking and you have ways to relax besides drinking and it sounds like you're pretty ready to cut back."
24,Mm-hmm. Yes.,Great. I'd be interested to see how well you do on your goal in the next few weeks. Would you be willing to come back and talk to me about it?
25,Yes.,"Great. So, let's see how well you're doing with these new meds."
26,Sure.,"Okay. Uh, thanks for filling this out. Uh, looks like you use alcohol two to three days a week?"
27,Sure.,"Okay. And then when you do drink alcohol, you typically have five or six drinks."
28,"Yeah, but only on the weekend.","Okay. Well, the reason why I like to talk to patients when they fill out this form is because sometimes, uh, alcohol use can impact our health. Um, and my role is to be helpful. I can share some information with you about alcohol use, um, but I don't tell anyone what to do. It's always up to the patient to decide what they wanna do about their drinking. Um, so is it okay if we talk a little bit more about your alcohol use?"
29,"Yeah. Uh, maybe a couple more.",How would you define drinking too much?
30,"So, uh, are you saying I drink too much?","Mm-hmm. Well, in this country, the guidelines are men can drink up to 14 drinks a week or up to four on one occasion and still be low risk."
31,"Well, I-- If-if I was getting fallen down drunk or if I drink every night. Um, it's not like I get sloppy drunk or anything.",So a limit of four a night doesn't feel right to you?
32,So I'm already at the week limit. And then I have four beers a night. Are you sure?,"You're not alone in feeling that way. Uh, binge drinking can feel normal to some people."
33,I have five or six beers when I go out with friends to a bar. It's not a problem for me.,Why is that?
34,"Well, I don't consider my drinking binge drinking.","Mm-hmm. Well, technically, we define binge drinking as having more than four drinks on one occasion."
35,I don't chug a lot of beers in a row. I have about five or six beers throughout the entire evening.,"Well, uh, we know if someone binge drinks over time, there's kind of two categories of risk. There's the short-term risk where someone who binge drinks is more likely to fall down, hurt themselves through an accident, uh, they're more likely to drive while under the influence. Uh, but over the long term, binge drinking can also, uh, cause things like heart disease, uh, different kinds of cancer, liver problems obviously, and then even mental health issues like depression and anxiety are more likely to happen."
36,But I'm healthy. What health problems are you talking about?,"Can I ask you, uh, what do you like about drinking alcohol?"
37,"Well, I didn't know about those things.",And so what about your drinking do you not like or is there anything that worries you about your drinking?
38,"Well, I-I like beer. I like the way it tastes, I like the way it makes me feel. Uh, like when I'm around friends and it's not a problem for me.","So, on one hand, you like how beer tastes, uh, it's part of your social life to some extent, um, but on the other hand, you don't like the idea of it posing risks to your health over the long term?"
39,"Well, that was fine until I came here, uh, but now that I know about the health risk, uh, I have something I gotta think about.","So weighing those things, you know, what you like about your drinking, what you don't like about your drinking, uh, where do you wanna go from here? Uh, what would you like to change about your drinking?"
40,E-exactly.,"Well, how about hypothetically if I were to ask you, how would your drinking have to impact your life in order for you to be ready to change your drinking?"
41,"Hmm, I'm not sure. Uh, something I have to think about.","So if you experienced a negative consequence from your drinking, uh, that would feel meaningful to you?"
42,"Uh, I don't know. Maybe if I got sick or something, uh, maybe I'd wanna change things then.","Okay. Well, I like to give this handout to patients. Uh, it defines risky drinking, it talks about what the consequences are, uh, and it also lists signs of what an alcohol use disorder is. So thanks again for taking the time to fill this out and being honest with me, uh, to talk about it. I provide better care, uh, when I know about my patient's substance use. When we come back for a three-month follow-up appointment for your ADHD, I'd also like to talk to you and check in about your alcohol use too, if that's okay with you."
43,Yeah.,"Okay, great. See you next time."
44,Sounds good.,"Well, I appreciate you bringing your weight to the forefront. Do you mind if we explore this issue further?"
45,"Well, doc, I know you told me that I need to lose weight. And even though the scale didn't show today, I was able to lose about 5 pounds, but then I gained it right back.","All right. Uh, well, it sounds like you've been struggling with your weight recently. And I understand how difficult it is to lose the weight and then have it come back again. So, tell me what you did to lose that initial 5 pounds."
46,"No, by all means. I know we have to discuss it.",But you did have some success. Tell me how you felt when you lost the weight.
47,"I started watching what I ate and I ate less. I've been eating more fruits and vegetables. I've also been walking a lot. I'm walking up to 20 minutes a day now. I saw the weight come slowly off, um, and I felt better. But then when I watched it come back on again, you know, I gave up.","Okay. Well, it sounds like you realized that when you lost the weight you feel better and that it's gonna affect your overall health. So, tell me what you think changed that caused you to gain the weight back."
48,I felt great and I felt really proud of myself. I thought that this was something that I could do.,And how many servings of fruits and vegetables on average per day would you have?
